WELL ,SUBSTRATE ,289-P1-0 ,289-P2-0 ,289-P3-0 ,289-P1-24,289-P2-24,289-P3-24,289-P1-48,289-P2-48,289-P3-48,289-P1-72,289-P2-72,289-P3-72,289-P1-96,289-P2-96,289-P3-96,289-P1-120,289-P2-120,289-P3-120,358-P1-0,358 -P2-0,358 -P3-0,358 -P1-24,358 -P2-24,358 -P3-24,358 -P1-48,358 -P2-48,358-P3-48,358-P1-72,358-P2-72,358-P3-72,358-P1-96,358-P2-96,358-P3-96,358-P1-120,358-P2-120,358-P3-120,366-P1-0,366-P2-0,366-P3-0,366-P1-24,366-P2-24,366-P3-24,366-P1-48,366-P2-48,366-P3-48,366-P1-72,366-P2-72,366-P3-72,366-P1-96,366-P2-96,366-P3-96,366-P1-120,366-P2-120,366-P3-120
B10,1% NaCl,0.004,-0.01,-0.027,0.773,0.863,0.808,1.138,1.221,1.11,1.314,1.417,1.244,1.474,1.609,1.435,1.581,1.666,1.533,-0.005,0.004,0.032,0.83,0.887,0.877,1.266,1.268,1.281,1.362,1.367,1.422,1.395,1.396,1.439,1.509,1.494,1.49,-0.041,0.003,-0.377,0.85,0.839,0.837,1.172,1.207,1.105,1.306,1.313,1.268,1.339,1.353,1.338,1.404,1.416,1.385
B11,4% NaCl,0.02,0.013,-0.015,-0.032,-0.009,-0.016,-0.027,0.31,0.177,-0.018,0.523,0.386,0.031,0.635,0.484,0.124,0.667,0.539,0.005,0.01,0.036,0.008,0.01,0.002,0.286,0.302,0.244,0.467,0.506,0.449,0.545,0.561,0.516,0.572,0.598,0.54,-0.008,0.02,-0.347,-0.08,-0.001,-0.03,0.003,0.347,0.036,0.057,0.534,0.225,0.115,0.581,0.334,0.172,0.609,0.368
B12,8% NaCl,-0.012,0.008,-0.036,-0.068,-0.067,-0.069,-0.062,-0.065,-0.096,-0.083,-0.075,-0.121,-0.08,-0.062,-0.109,-0.048,-0.06,-0.093,0.009,0.034,0.015,-0.086,-0.085,-0.093,-0.101,-0.099,-0.106,-0.111,-0.097,-0.099,-0.111,-0.104,-0.111,-0.105,0.002,-0.109,-0.056,0.011,-0.231,-0.109,-0.08,-0.084,-0.092,-0.092,-0.102,-0.11,-0.095,-0.094,-0.11,-0.1,-0.097,-0.102,-0.094,-0.09
C1,α-D-Glucose,-0.009,0.024,0.013,0.41,0.617,0.559,0.663,0.786,0.753,0.683,0.729,0.66,0.615,0.726,0.602,0.644,0.733,0.641,0.023,0.039,0.059,0.574,0.618,0.585,0.712,0.748,0.747,0.798,0.846,0.863,0.805,0.785,0.838,0.786,0.799,0.814,-0.027,0.05,-0.321,0.494,0.606,0.467,0.719,0.748,0.704,0.76,0.864,0.872,0.85,0.825,0.831,0.799,0.836,0.819
C2,D-Mannose,-0.003,0.014,0.016,0.506,0.706,0.548,0.925,1.021,0.957,0.99,0.792,0.696,0.69,0.677,0.733,0.754,0.785,0.702,-0.009,0.005,0.083,0.498,0.536,0.628,0.76,0.815,0.775,0.877,1.013,0.985,0.866,0.942,0.914,0.825,0.864,0.81,-0.044,0.001,-0.306,0.488,0.46,0.535,0.8,0.746,0.813,0.855,0.856,0.906,0.844,0.864,0.882,0.866,0.81,0.88
C3,D-Fructose,-0.005,0.027,0.014,0.522,0.639,0.573,0.817,0.94,0.949,0.842,0.614,0.728,0.797,0.615,0.557,0.854,0.618,0.617,-0.004,-0.001,0.065,0.556,0.57,0.571,0.741,0.738,0.698,0.879,0.905,0.878,0.892,0.852,0.882,0.822,0.838,0.798,-0.037,-0.005,-0.298,0.486,0.495,0.546,0.686,0.739,0.713,0.805,0.873,0.864,0.887,0.875,0.936,0.854,0.809,0.877
C4,D-Galactose,-0.009,0.014,-0.011,0.419,0.56,0.495,0.798,0.875,0.967,0.872,0.698,1.064,0.822,0.586,0.828,0.906,0.645,0.711,0.05,0.043,0.099,0.522,0.545,0.602,0.851,0.814,0.851,1.069,1.001,0.978,0.99,0.961,0.886,0.931,0.924,0.895,-0.041,0.04,-0.287,0.514,0.553,0.521,0.808,0.864,0.853,0.958,0.948,0.952,0.845,0.902,0.891,0.852,0.908,0.975
C5,3-Methyl Glucose,0,0.006,-0.018,-0.01,0.006,0.003,-0.023,-0.032,-0.058,-0.057,-0.047,-0.096,-0.049,-0.038,-0.084,-0.018,-0.038,-0.07,0.007,0.028,0.086,-0.028,-0.018,0.033,-0.033,-0.015,-0.031,-0.043,-0.024,-0.016,-0.043,-0.032,-0.048,-0.036,-0.012,-0.012,-0.028,-0.004,-0.288,-0.033,0.001,0.034,-0.04,-0.037,-0.026,-0.043,-0.039,-0.028,-0.04,-0.036,-0.034,-0.035,-0.031,0.002
C6,D-Fucose,0.015,-0.012,-0.029,0.015,0.06,0.064,0.022,0.066,0.036,0,0.046,-0.019,-0.006,0.052,-0.008,0.017,0.046,0.001,-0.013,0.002,0.058,-0.01,0.023,0.077,0.015,0.053,0.049,0.009,0.057,0.079,0.004,0.043,0.05,0.005,0.066,0.079,-0.035,-0.003,-0.322,-0.01,-0.003,0.027,0.033,0.011,0.008,0.029,0.008,0.018,0.02,0.008,-0.002,0.022,-0.003,0.05
C7,L-Fucose,-0.003,0.026,-0.019,0.051,0.136,0.134,0.032,0.121,0.073,0.006,0.093,0.032,0.001,0.098,0.042,0.027,0.094,0.053,0.002,0.014,0.077,0.094,0.108,0.155,0.091,0.108,0.123,0.088,0.113,0.141,0.083,0.102,0.109,0.088,0.121,0.133,-0.038,0.008,-0.275,0.057,0.062,0.137,0.063,0.051,0.079,0.063,0.052,0.083,0.058,0.045,0.066,0.056,0.048,0.102
C8,L-Rhamnose,-0.011,0.032,-0.013,0.018,0.102,0.096,0.006,0.081,0.037,0.059,0.072,0.007,0,0.083,0.022,0.063,0.079,0.042,0.014,0.029,0.081,0.082,0.088,0.128,0.085,0.087,0.091,0.075,0.09,0.112,0.07,0.078,0.079,0.074,0.096,0.104,-0.044,0.013,-0.289,0.008,0.053,0.131,0.019,0.053,0.082,0.017,0.05,0.084,0.01,0.04,0.073,0.01,0.037,0.096
C9,Inosine,-0.02,0.032,-0.028,0.239,0.359,0.285,0.532,0.516,0.439,0.595,0.563,0.492,0.724,0.631,0.59,0.782,0.71,0.728,0.017,0.049,0.085,0.215,0.241,0.32,0.452,0.546,0.508,0.59,0.697,0.594,0.771,0.779,0.73,0.89,0.881,0.794,-0.03,0.015,-0.266,0.142,0.244,0.269,0.422,0.493,0.527,0.53,0.633,0.666,0.704,0.763,0.797,0.836,0.851,0.931
C10,1% Sodium Lactate,-0.024,-0.01,-0.031,0.545,0.635,0.586,1.018,1.023,1.008,1.23,1.231,1.163,1.353,1.482,1.312,1.46,1.649,1.502,-0.009,-0.004,0.036,0.659,0.691,0.673,1.127,1.127,1.073,1.297,1.316,1.288,1.386,1.407,1.362,1.407,1.456,1.395,-0.032,-0.003,-0.35,0.66,0.652,0.648,1.073,1.115,1.027,1.252,1.297,1.226,1.359,1.358,1.368,1.412,1.414,1.427
C11,Fusidic Acid,0.122,0.144,0.135,-0.03,-0.042,-0.029,-0.062,-0.064,-0.088,-0.082,-0.072,-0.116,-0.079,-0.055,-0.099,-0.043,-0.043,-0.079,0.14,0.128,0.153,-0.065,-0.07,-0.019,-0.099,-0.087,-0.099,-0.103,-0.08,-0.068,0.095,-0.078,-0.09,0.234,-0.022,-0.049,0.096,0.122,-0.223,-0.069,-0.055,0.015,-0.095,-0.087,-0.092,-0.099,-0.087,-0.085,-0.096,-0.088,-0.09,-0.078,-0.073,-0.078
C12,D-Serine-chemical,-0.027,-0.014,-0.036,0.652,0.905,0.834,1.164,1.34,1.182,1.424,1.482,1.39,1.375,1.47,1.413,1.344,1.403,1.369,-0.01,-0.004,-0.007,0.722,0.729,0.706,0.966,0.994,0.959,1.129,1.156,1.125,1.295,1.287,1.267,1.437,1.465,1.405,-0.058,-0.003,-0.39,0.587,0.736,0.464,0.827,0.897,0.849,0.989,1.095,1.028,1.171,1.274,1.222,1.351,1.415,1.367
D1,D-Sorbitol,-0.02,0.008,-0.014,0.011,0.074,0.041,-0.012,0.05,-0.018,0.012,0.042,-0.032,-0.013,0.059,-0.009,0.019,0.043,0.011,0.028,0.029,0.038,0.064,0.013,0.019,0.086,0.015,0.019,0.077,0.019,0.025,0.074,0.012,0.016,0.072,0.027,0.025,-0.044,0.002,-0.374,-0.002,0.017,0.049,0.007,0.008,0.023,0.008,0.015,0.037,0.004,0.008,0.031,0.013,0.01,0.038
D2,D-Mannitol,-0.01,-0.003,0.016,0.495,0.623,0.504,0.665,1.06,1.022,0.603,0.989,0.597,0.532,0.977,0.626,0.634,0.95,0.725,-0.011,-0.008,0.096,0.508,0.553,0.556,0.725,0.778,0.684,0.847,0.908,0.882,0.906,1.013,0.889,0.968,0.922,0.918,-0.048,-0.003,-0.29,0.5,0.472,0.525,0.718,0.715,0.735,0.847,0.814,0.868,0.851,0.864,0.871,0.72,0.889,0.888
D3,D-Arabitol,0.002,0.01,-0.004,-0.022,0.024,0.003,-0.015,0.023,-0.051,-0.049,0.008,-0.074,-0.001,0.018,-0.074,0.022,0.012,-0.063,-0.008,0,0.079,0.001,0.018,0.047,-0.012,0.003,0.009,-0.022,-0.001,0.04,-0.025,-0.013,0.007,-0.026,-0.001,-0.002,-0.05,-0.008,-0.304,-0.051,-0.038,0.011,-0.049,-0.037,-0.035,-0.057,-0.04,-0.025,-0.059,-0.042,-0.041,-0.056,-0.039,0.007
D4,myo-Inositol,-0.014,0.022,0.001,-0.017,0.047,0.034,-0.021,0.038,-0.021,-0.026,0.022,-0.051,-0.04,0.033,-0.038,-0.017,0.031,-0.024,0.014,0.039,0.077,0.036,0.064,0.085,0.038,0.058,0.032,0.033,0.062,0.06,0.026,0.052,0.025,0.031,0.064,0.07,-0.038,0.002,-0.306,-0.017,0.032,0.077,-0.004,0.025,0.023,-0.01,0.024,0.028,-0.018,0.013,0.008,-0.014,0.011,0.076
D5,Glycerol,-0.015,0.019,-0.017,0.384,0.444,0.467,0.68,0.756,0.657,0.799,0.803,0.719,0.854,0.826,0.758,0.958,0.876,0.767,0.034,0.009,0.087,0.456,0.454,0.524,0.65,0.655,0.626,0.759,0.77,0.806,0.931,0.946,0.87,0.876,0.9,0.942,0.001,0.022,-0.309,0.464,0.494,0.563,0.704,0.652,0.645,0.663,0.737,0.718,0.752,0.84,0.811,0.778,0.93,0.917
D6,D-Glucose-6-PO4,0.043,0.066,-0.025,0.612,0.751,0.656,0.712,0.934,0.774,0.695,0.818,0.618,0.605,0.854,0.672,0.635,0.785,0.685,0.064,0.014,0.129,0.641,0.699,0.671,0.913,0.943,0.916,0.87,0.867,0.859,0.855,0.851,0.82,0.859,0.874,0.84,-0.031,0.008,-0.293,0.613,0.57,0.64,0.931,0.882,0.918,0.836,0.822,0.867,0.826,0.81,0.849,0.821,0.808,0.9
D7,D-Fructose-6-PO4,0.018,0.036,-0.016,0.585,0.754,0.69,0.731,0.808,0.689,0.633,0.75,0.584,0.641,0.745,0.631,0.682,0.762,0.648,-0.009,-0.003,0.091,0.399,0.507,0.578,0.665,0.752,0.787,0.653,0.763,0.814,0.65,0.753,0.782,0.655,0.767,0.785,-0.049,-0.008,-0.32,0.417,0.281,0.26,0.708,0.572,0.614,0.695,0.56,0.586,0.696,0.546,0.566,0.691,0.542,0.614
D8,D-Aspartic Acid,-0.029,-0.013,-0.034,0.007,0.018,0.011,-0.009,0.019,-0.036,-0.002,-0.01,-0.06,-0.025,0.003,-0.046,-0.001,-0.003,-0.037,-0.013,-0.004,0.063,0.004,0.002,0.033,-0.001,0,-0.009,-0.001,0.011,0.02,-0.012,-0.006,-0.014,-0.003,0.017,0.023,-0.053,-0.004,-0.355,-0.017,0.018,0.072,-0.005,0.01,0.014,0.001,0.016,0.021,-0.016,-0.005,0.006,-0.018,0,0.043
D9,D-Serine,0.008,-0.01,-0.023,0.414,0.526,0.372,1.051,1.024,1,0.747,0.85,0.631,0.67,0.927,0.631,0.688,0.807,0.66,-0.003,-0.002,0.047,0.504,0.522,0.564,1.125,0.907,0.926,1.018,1.008,1.038,0.969,0.937,0.948,0.969,0.955,0.955,-0.046,-0.001,-0.328,0.511,0.512,0.504,0.911,0.892,0.972,1.054,1,1.099,0.977,0.959,0.996,0.964,0.941,0.99
D10,Troleandomycin,-0.025,-0.01,-0.032,-0.061,-0.049,-0.05,-0.053,-0.021,-0.069,-0.074,-0.03,-0.092,-0.074,-0.014,-0.075,-0.044,-0.014,-0.059,-0.011,-0.006,0.033,-0.086,-0.081,-0.042,-0.088,-0.072,-0.074,-0.082,-0.052,-0.028,-0.077,-0.045,-0.045,-0.072,-0.02,-0.016,-0.05,-0.003,-0.371,-0.09,-0.071,-0.01,-0.064,-0.072,-0.094,-0.049,-0.068,-0.087,-0.046,-0.068,-0.091,-0.036,-0.065,-0.054
D11,Rifamycin SV,-0.021,-0.006,-0.029,-0.053,0.304,0.056,1.155,1.411,1.246,1.57,1.838,1.66,1.577,1.878,1.686,1.61,1.712,1.561,-0.014,0.002,0.045,-0.048,-0.003,0.081,0.556,0.671,0.828,0.865,1.171,1.216,1.004,1.354,1.38,1.087,1.507,1.497,-0.054,-0.001,-0.308,-0.093,-0.065,-0.002,0.104,0.266,-0.089,1.077,1.123,-0.035,1.256,1.295,0.857,1.379,1.409,1.161
D12,Minocycline,-0.023,-0.008,-0.032,-0.066,-0.062,-0.06,-0.056,-0.051,-0.084,-0.075,-0.052,-0.107,-0.066,-0.031,-0.085,-0.034,-0.022,-0.064,-0.005,-0.004,-0.003,-0.088,-0.088,-0.093,-0.1,-0.094,-0.097,-0.103,-0.092,-0.09,-0.099,-0.097,-0.098,-0.091,-0.068,-0.093,-0.052,-0.002,-0.375,-0.103,-0.075,-0.044,-0.097,-0.088,-0.097,-0.101,-0.088,-0.088,-0.102,-0.092,-0.094,-0.092,-0.084,-0.08
E1,Gelatin,-0.014,0.004,-0.008,0.042,0.067,0.16,0.564,0.122,0.557,0.571,0.204,0.479,0.543,0.203,0.481,0.555,0.176,0.5,0,-0.004,0.015,0.29,0.237,0.264,0.725,0.702,0.571,0.834,0.77,0.751,0.841,0.764,0.744,0.845,0.78,0.735,-0.028,0.003,-0.371,0.013,0.016,0.212,0.084,0.07,0.591,0.206,0.151,0.788,0.234,0.178,0.831,0.252,0.193,0.841
E2,Glycyl-L-Proline,-0.025,0.024,0.017,0.184,0.324,0.256,0.603,0.855,0.734,1.1,1.184,0.959,1.272,1.3,0.952,1.288,1.377,1.153,0.011,0.003,0.086,0.484,0.49,0.506,0.8,0.791,0.75,0.924,0.923,0.899,1.028,1.002,0.976,1.085,1.08,1.048,-0.027,-0.003,-0.297,0.445,0.388,0.351,0.821,0.787,0.771,0.899,0.879,0.898,0.991,0.976,0.976,1.067,1.038,1.094
E3,L-Alanine,-0.025,0.072,0.006,0.201,0.247,0.22,0.343,0.417,0.356,0.391,0.474,0.409,0.437,0.536,0.497,0.497,0.554,0.542,0.011,0.011,0.104,0.408,0.425,0.428,0.702,0.714,0.715,0.752,0.741,0.755,0.783,0.784,0.769,0.841,0.848,0.831,-0.051,0.003,-0.324,0.329,0.345,0.364,0.692,0.717,0.72,0.72,0.737,0.758,0.762,0.792,0.788,0.834,0.827,0.886
E4,L-Arginine,-0.021,0.061,-0.002,0.108,0.203,0.143,0.244,0.3,0.156,0.444,0.65,0.326,0.675,0.954,0.767,0.759,0.923,0.702,0.003,-0.003,0.066,0.287,0.334,0.339,0.59,0.616,0.564,0.752,0.744,0.732,0.788,0.741,0.705,0.954,0.797,0.772,-0.054,-0.003,-0.307,0.33,0.305,0.347,0.61,0.584,0.626,0.743,0.734,0.742,0.766,0.772,0.77,0.821,0.813,0.822
E5,L-Aspartic Acid,0.001,0.103,-0.011,0.377,0.524,0.388,1.173,1.207,1.066,1.049,1.06,0.969,0.907,1.015,0.894,0.893,0.988,0.887,0.003,0.003,0.075,0.532,0.556,0.58,1.09,1.094,1.082,1.002,1.01,1.015,0.971,0.976,0.959,0.965,0.966,0.971,-0.037,0.016,-0.323,0.506,0.522,0.492,1.102,1.08,1.076,1.043,1.054,1.064,0.994,0.997,0.999,0.991,0.985,1.05
E6,L-Glutamic Acid,0.07,0.128,-0.016,0.395,0.584,0.458,0.88,0.985,0.833,1.141,1.241,0.762,1.287,1.445,0.907,1.105,1.453,1.083,0.001,0.016,0.078,0.516,0.568,0.588,0.821,0.832,0.839,0.899,0.932,0.935,0.963,0.971,1.001,0.993,1.018,1.065,-0.053,0.012,-0.301,0.455,0.51,0.482,0.822,0.816,0.855,0.926,0.901,0.955,0.984,0.942,1.011,1.027,0.981,1.119
E7,L-Histidine,0.083,0.124,0.009,0.201,0.431,0.277,0.719,0.883,0.72,0.758,0.933,0.759,0.795,0.946,0.777,0.695,0.925,0.755,0.032,0.03,0.074,0.209,0.377,0.407,0.689,0.737,0.724,0.737,0.784,0.793,0.785,0.792,0.78,0.831,0.828,0.812,-0.031,0.002,-0.283,0.344,0.27,0.133,0.717,0.719,0.709,0.755,0.755,0.809,0.804,0.783,0.835,0.852,0.819,0.94
E8,L-Pyroglutamic Acid,0.038,0.146,-0.029,0.028,0.188,0.076,0.055,0.191,0.023,-0.022,0.186,-0.009,-0.028,0.187,-0.001,0.001,0.223,0.011,0.027,0.005,0.054,0.036,0.036,0.067,0.02,0.028,0.02,0.022,0.036,0.051,0.018,0.023,0.031,0.014,0.034,0.06,-0.055,0.009,-0.301,-0.034,0.021,0.086,-0.03,0.025,0.036,-0.028,0.017,0.047,-0.031,0.015,0.044,-0.034,0.005,0.107
E9,L-Serine,-0.011,0.105,-0.002,0.552,0.738,0.56,1.057,1.16,1.002,0.77,0.955,0.839,0.765,0.946,0.783,0.746,0.922,0.789,0.07,0.019,0.049,0.628,0.676,0.641,0.921,0.943,0.948,1.048,1.024,0.981,0.985,0.958,0.911,0.981,0.979,0.92,-0.057,-0.006,-0.289,0.652,0.631,0.636,1.007,0.984,0.926,0.968,0.949,1.008,0.923,0.91,0.958,0.936,0.917,1.008
