layers	Hv98_231	b1_3	AV040	ZfB1	Hm21	C4	Hv98_241	ANYA_18196	KMM366	ANYA_14430	AV183026	FDAARGOS_632	Hm22	KMM358	ANYA_13997	Ho04_635	FC951	AV0110	Hv98_232	Hv98_225	AV1708_29120	D3	KMM289	Hv98_571
FDAARGOS_632	0.837756438566855	0.830273303017876	0.852702443571693	0.822590686591375	0.840614612575962	0.841875152672447	0.841588668837089	0.856630607233965	0.82905907172137	0.826541080619857	0.83243671016239	1.0	0.837793191015377	0.829014438316528	0.82197057451551	0.843125314478325	0.818770292354292	0.871756490700418	0.835660285951078	0.852246160148675	0.832246139345292	0.832360997099188	0.843510861028118	0.834645376430023
Hm21	0.90977587324053	0.793123062375409	0.794686150491923	0.793527438441571	1.0	0.835496083538995	0.887911094958641	0.799921343860905	0.82425539276099	0.822775702453463	0.816942412394389	0.805151712238493	0.875407829979118	0.82427615985719	0.815799114344242	0.896034763125278	0.781707371173824	0.801820664418306	0.907859272400917	0.807110033164643	0.785902411857766	0.797137041716007	0.818161291193525	0.870189510952408
Hm22	0.847604493267817	0.774395691644252	0.77157167972937	0.776176924133445	0.847265580889085	0.809895855779486	0.868017661694745	0.767187744760403	0.797450676619562	0.793674481178511	0.786643133129941	0.774798272483859	1.0	0.797554178078296	0.792944225661235	0.843380031747273	0.748521316885555	0.771690468691939	0.845324413534415	0.799435628169473	0.757730415453256	0.767032667760513	0.800208608780606	0.993118210264351
Ho04_635	0.911217047044677	0.798878900608892	0.803005067647347	0.798460264873361	0.908999812544166	0.834059096169925	0.900317649999916	0.805965385851062	0.82709999516078	0.827463558872026	0.816758854452661	0.816389022144021	0.881776898488535	0.827338210168167	0.823277649518581	1.0	0.786662276110411	0.814775132256467	0.908289993698853	0.822727438272394	0.789703134594424	0.804367543505125	0.830486116855297	0.878978137696749
Hv98_225	0.796979929348335	0.778460208684425	0.789318272394795	0.760112526658089	0.793038300050643	0.787843843234101	0.799048760314761	0.782887115953226	0.777132302439072	0.771704238471519	0.777106859518443	0.796890341710045	0.811707066960235	0.777188717075311	0.764461183724553	0.797935265335238	0.753408516819152	0.796801648271203	0.794116946528738	1.0	0.769417153222223	0.775105008421958	0.790844187165701	0.80956619177583
Hv98_231	1.0	0.814120606102537	0.814250700016326	0.812434712793183	0.940509477749716	0.852877581264429	0.916063637700938	0.820309357135103	0.845531404660206	0.843068023133001	0.835865792804381	0.829174173941563	0.903863159484532	0.845869329655202	0.838913039978354	0.929398853468123	0.799218865662949	0.826573927081416	0.992846987549379	0.838326256850221	0.803525776890452	0.817987685770002	0.842880981408862	0.90013738707284
Hv98_232	0.997732929970594	0.811865555468033	0.81467600012619	0.813742878313086	0.941627471488217	0.852967494859768	0.914835524532697	0.820576229034636	0.846162807191053	0.842822205684107	0.835148809099728	0.828303885040391	0.901633777394004	0.846383110035084	0.83836903641421	0.929811948049033	0.799905821905795	0.826206095576892	1.0	0.837471367287542	0.802229524792827	0.818650769990446	0.842801546776834	0.898524784811612
Hv98_241	0.867749693226783	0.778014093736709	0.772773783627785	0.772413621811073	0.867159391715724	0.813314584681226	1.0	0.773433592295731	0.80559467757128	0.796747838242604	0.784939357259518	0.783587291678064	0.877909292260775	0.805726355656225	0.789928568479422	0.871426767862545	0.754102848296303	0.780567643644812	0.864566138250487	0.795499302174079	0.759576813837081	0.767002168270849	0.8080733478753	0.875637877579885
Hv98_571	0.842743477289458	0.768845253620576	0.767222677175217	0.771337612587669	0.840267287588712	0.803760066251014	0.86437603885708	0.761292017700799	0.791742029509762	0.787138478461159	0.779805003124637	0.769966838897634	0.992853469159194	0.791793506954769	0.786983603197893	0.838435568328335	0.744381992993017	0.765737277631651	0.839804982294494	0.794808496973664	0.750885958529036	0.761543496246995	0.794674282954488	1.0
KMM289	0.824954014702982	0.809222353926675	0.802766004539072	0.804133580143858	0.825451882125888	0.828951827666314	0.837072257045396	0.795752385543568	0.841337494179197	0.795874414253753	0.802600471778649	0.809671809076127	0.836195410536411	0.841557995171095	0.800921527857253	0.825158186137406	0.788579707980464	0.814336216289719	0.822825173010962	0.809431444408013	0.785750641828215	0.800044978437515	1.0	0.832938375778882
KMM358	0.805570071974842	0.783410308304001	0.779212396247577	0.784894650221042	0.808284056096804	0.814362076585929	0.815043900720703	0.779780086909914	0.999528110666369	0.786153949824998	0.796445762072025	0.781084224786167	0.811432815174715	1.0	0.787783785578626	0.805355799336067	0.764376097455675	0.783975608383344	0.803252916779387	0.781187892445666	0.767741635201817	0.777377843410654	0.821231296557129	0.807652691944407
KMM366	0.796489611858862	0.773767462621092	0.769625005294005	0.775514300248957	0.799386719267904	0.804624322357519	0.806105884407856	0.770692827388214	1.0	0.776971900411601	0.786419300617	0.771212186697612	0.801770942481283	0.986978705633268	0.776185516925184	0.795261470879507	0.753798192131873	0.773978578818893	0.794637662961623	0.770518559001761	0.758822110154542	0.767958553563498	0.809263580259667	0.797403515704397
ZfB1	0.801906923742978	0.779329615755048	0.79462244153023	1.0	0.806055838917817	0.821577055901994	0.810528098518344	0.79210726205499	0.811703023464935	0.810397545242954	0.808765615145195	0.799056222340402	0.821001018697663	0.811855763827997	0.809774361648413	0.804339204100937	0.802624553985791	0.788905990863119	0.80005019951562	0.787452701556688	0.783947727990122	0.800073449757805	0.809360782523737	0.818298262397241
b1_3	0.794535212983597	1.0	0.815237482203294	0.771643757132373	0.797183182255971	0.806381756138085	0.806316813765801	0.789224938259191	0.801415478464732	0.78341834272161	0.787463846433784	0.80160983942809	0.809135648726083	0.801188216427358	0.782304157280532	0.796537463491095	0.764524362667428	0.807928121102348	0.793066031869308	0.799290707403104	0.805606447393058	0.794253388157743	0.809290970791068	0.804855780274207
