module	genome_name	db_name	stepwise_module_completeness	stepwise_module_is_complete	step_id	step	step_completeness	step_copy_number
M00117	KMM366	KMM366	1.0	True	1	K03179	1	1
M00117	KMM366	KMM366	1.0	True	2	K03182+K03186	1	1
M00117	KMM366	KMM366	1.0	True	3	K18800	1	1
M00117	KMM366	KMM366	1.0	True	4	K00568	1	1
M00117	KMM366	KMM366	1.0	True	5	K03185	1	1
M00117	KMM366	KMM366	1.0	True	6	K03183	1	1
M00117	KMM366	KMM366	1.0	True	7	(K03184,K06134)	1	1
M00989	KMM366	KMM366	1.0	True	0	(K03181,K18240)	1	1
M00989	KMM366	KMM366	1.0	True	1	K03179	1	1
M00989	KMM366	KMM366	1.0	True	2	K03182+K03186	1	1
M00989	KMM366	KMM366	1.0	True	3	K24844+K24845+K24843	1	1
M00989	KMM366	KMM366	1.0	True	4	K00568	1	1
M00989	KMM366	KMM366	1.0	True	5	K03183	1	1
M00116	KMM366	KMM366	1.0	True	0	K02552	1	1
M00116	KMM366	KMM366	1.0	True	1	K02551	1	1
M00116	KMM366	KMM366	1.0	True	2	K08680	1	1
M00116	KMM366	KMM366	1.0	True	3	K02549	1	1
M00116	KMM366	KMM366	1.0	True	4	K01911	1	1
M00116	KMM366	KMM366	1.0	True	5	K01661	1	1
M00116	KMM366	KMM366	1.0	True	6	K19222	1	1
M00116	KMM366	KMM366	1.0	True	7	K02548	1	1
M00116	KMM366	KMM366	1.0	True	8	K03183	1	1
M00932	KMM366	KMM366	0.5714285714285714	False	0	(K02552 K02551 K08680 K02549,K14759)	1	1
M00932	KMM366	KMM366	0.5714285714285714	False	1	(K01911,K14760)	1	1
M00932	KMM366	KMM366	0.5714285714285714	False	2	K01661	1	1
M00932	KMM366	KMM366	0.5714285714285714	False	3	(K19222,K12073)	1	1
M00932	KMM366	KMM366	0.5714285714285714	False	4	K23094	0	0
M00932	KMM366	KMM366	0.5714285714285714	False	5	K17872	0	0
M00932	KMM366	KMM366	0.5714285714285714	False	6	K23095	0	0
M00095	KMM366	KMM366	0.2857142857142857	False	0	K00626	1	1
M00095	KMM366	KMM366	0.2857142857142857	False	1	K01641	0	0
M00095	KMM366	KMM366	0.2857142857142857	False	2	K00021	0	0
M00095	KMM366	KMM366	0.2857142857142857	False	3	K00869	0	0
M00095	KMM366	KMM366	0.2857142857142857	False	4	(K00938,K13273)	0	0
M00095	KMM366	KMM366	0.2857142857142857	False	5	K01597	0	0
M00095	KMM366	KMM366	0.2857142857142857	False	6	K01823	1	1
M00849	KMM366	KMM366	0.3333333333333333	False	0	K00626	1	1
M00849	KMM366	KMM366	0.3333333333333333	False	1	K01641	0	0
M00849	KMM366	KMM366	0.3333333333333333	False	2	(K00021,K00054)	0	0
M00849	KMM366	KMM366	0.3333333333333333	False	3	((K00869 (K17942,(K25517+K09128 K25518+K03186))),(K18689 K18690 K22813))	0	0
M00849	KMM366	KMM366	0.3333333333333333	False	4	K06981	0	0
M00849	KMM366	KMM366	0.3333333333333333	False	5	K01823	1	1
M00096	KMM366	KMM366	1.0	True	0	K01662	1	1
M00096	KMM366	KMM366	1.0	True	1	K00099	1	1
M00096	KMM366	KMM366	1.0	True	2	(K00991,K12506)	1	1
M00096	KMM366	KMM366	1.0	True	3	K00919	1	1
M00096	KMM366	KMM366	1.0	True	4	(K01770,K12506)	1	1
M00096	KMM366	KMM366	1.0	True	5	K03526	1	1
M00096	KMM366	KMM366	1.0	True	6	K03527	1	1
M00096	KMM366	KMM366	1.0	True	7	K01823	1	1
M00364	KMM366	KMM366	1.0	True	0	K01823	1	1
M00364	KMM366	KMM366	1.0	True	1	(K00795,K13789,K13787)	1	1
M00365	KMM366	KMM366	0.5	False	0	K01823	1	1
M00365	KMM366	KMM366	0.5	False	1	K13787	0	0
M00366	KMM366	KMM366	0.25	False	0	K01823	1	1
M00366	KMM366	KMM366	0.25	False	1	K14066	0	0
M00366	KMM366	KMM366	0.25	False	2	K00787	0	0
M00366	KMM366	KMM366	0.25	False	3	K13789	0	0
M00367	KMM366	KMM366	0.3333333333333333	False	0	K01823	1	1
M00367	KMM366	KMM366	0.3333333333333333	False	1	K00787	0	0
M00367	KMM366	KMM366	0.3333333333333333	False	2	K00804	0	0
M00961	KMM366	KMM366	0.25	False	0	K26037	0	0
M00961	KMM366	KMM366	0.25	False	1	K15777	1	1
M00961	KMM366	KMM366	0.25	False	2	(K15776,K15774)	0	0
M00961	KMM366	KMM366	0.25	False	3	K26038	0	0
M00953	KMM366	KMM366	0.2	False	0	K00789	1	1
M00953	KMM366	KMM366	0.2	False	1	K05953	0	0
M00953	KMM366	KMM366	0.2	False	2	K14271	0	0
M00953	KMM366	KMM366	0.2	False	3	K22374	0	0
M00953	KMM366	KMM366	0.2	False	4	K18054	0	0
M00848	KMM366	KMM366	0.0	False	0	K09460	0	0
M00848	KMM366	KMM366	0.0	False	1	K02078+K14245+K14246+K22798	0	0
M00848	KMM366	KMM366	0.0	False	2	K22799	0	0
M00848	KMM366	KMM366	0.0	False	3	K22800	0	0
M00848	KMM366	KMM366	0.0	False	4	K21272	0	0
