module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00049	KMM358	KMM358	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K01939 K01756 (K00939,K18532,K18533,K00944) K00940"	1.0	True	1.0	True	1.0	K00939,K01939	1,1	K00939,K00940,K01756,K01939	2383,2482,2993,3135	K00940 is present in multiple modules: M00049/M00050/M00053/M00052/M00938,K01756 is present in multiple modules: M00048/M00049	1	1	1,1,1,1
M00050	KMM358	KMM358	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K00088 K01951 K00942 (K00940,K18533)"	1.0	True	1.0	True	1.0	K00088,K00942,K01951	1,1,1	K00088,K00940,K00942,K01951	2352,2482,33,2351	K00940 is present in multiple modules: M00049/M00050/M00053/M00052/M00938	1	1	1,1,1,1
M00053	KMM358	KMM358	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP	Pathway modules	Nucleotide metabolism	Purine metabolism	"(K00525+K00526,K10807+K10808) (K00940,K18533)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00525,K00525,K00526,K00940	752,1956,1955,2482	K00525 is present in multiple modules: M00053/M00938,K00526 is present in multiple modules: M00053/M00938,K00940 is present in multiple modules: M00049/M00050/M00053/M00052/M00938	1	1	1,1
M00958	KMM358	KMM358	Adenine ribonucleotide degradation, AMP => Urate	Pathway modules	Nucleotide metabolism	Purine metabolism	"((K01490 (K01081,K19970,K03787,K18550)),((K01081,K19970,K11751,K03787,K02566,K08693) (K01488,K19572,K05810))) (K03783,K03784,K09913,K05810) (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483)"	1.0	True	1.0	True	1.0	K01488	1	K00087,K01488,K02566,K03784,K03787,K05810,K09913,K11751,K11751,K11751,K13479,K13480	1912,4004,1629,3541,729,3952,1875,939,1833,3153,1913,1914	K00087 is present in multiple modules: M00958/M00959/M00546,K02566 is present in multiple modules: M00958/M00959,K03784 is present in multiple modules: M00958/M00959,K03787 is present in multiple modules: M00958/M00959,K05810 is present in multiple modules: M00958/M00959/M00034,K09913 is present in multiple modules: M00958/M00959,K11751 is present in multiple modules: M00958/M00959,K13479 is present in multiple modules: M00958/M00959/M00546,K13480 is present in multiple modules: M00958/M00959/M00546	1	1	2,3,1
M00959	KMM358	KMM358	Guanine ribonucleotide degradation, GMP => Urate	Pathway modules	Nucleotide metabolism	Purine metabolism	"(K01081,K19970,K11751,K03787,K02566,K08693,K20881) (K03783,K03784,K09913,K05810) K01487 (K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483)"	1.0	True	1.0	True	1.0	K01487,K20881	1,1	K00087,K01487,K02566,K03784,K03787,K05810,K09913,K11751,K11751,K11751,K13479,K13480,K20881	1912,1910,1629,3541,729,3952,1875,939,1833,3153,1913,1914,499	K00087 is present in multiple modules: M00958/M00959/M00546,K02566 is present in multiple modules: M00958/M00959,K03784 is present in multiple modules: M00958/M00959,K03787 is present in multiple modules: M00958/M00959,K05810 is present in multiple modules: M00958/M00959/M00034,K09913 is present in multiple modules: M00958/M00959,K11751 is present in multiple modules: M00958/M00959,K13479 is present in multiple modules: M00958/M00959/M00546,K13480 is present in multiple modules: M00958/M00959/M00546	1	1	6,3,1,1
M00546	KMM358	KMM358	Purine degradation, xanthine => urea	Pathway modules	Nucleotide metabolism	Purine metabolism	"(K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) (K00365,K16838,K16839,K22879) (K13484,K07127 (K13485,K16838,K16840)) (K01466,K16842) K01477"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K00087,K13479,K13480	1912,1913,1914	K00087 is present in multiple modules: M00958/M00959/M00546,K13479 is present in multiple modules: M00958/M00959/M00546,K13480 is present in multiple modules: M00958/M00959/M00546	0	0	1,0,0,0,0
M00051	KMM358	KMM358	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,K00762 K01591)"	1.0	True	1.0	True	1.0	K00254,K00609,K00610,K00762,K01465,K01591	1,1,1,1,1,1	K00254,K00609,K00610,K00762,K01465,K01591,K01955,K01956	2009,3970,3971,4040,1542,2420,2657,2658	K01955 is present in multiple modules: M00051/M00978,K01956 is present in multiple modules: M00051/M00978	1	1	1,1,1
M00052	KMM358	KMM358	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K13800,K13809,K09903) (K00940,K18533) K01937"	1.0	True	1.0	True	1.0	K01937,K09903	1,1	K00940,K01937,K09903	2482,697,1035	K00940 is present in multiple modules: M00049/M00050/M00053/M00052/M00938	1	1	1,1,1
M00938	KMM358	KMM358	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K00525+K00526,K10807+K10808) (K00940,K18533) K01520 (K00560,K13998,K03465) K00943"	1.0	True	1.0	True	1.0	K00560,K00943,K01520	3,1,1	K00525,K00525,K00526,K00560,K00560,K00560,K00940,K00943,K01520	752,1956,1955,3601,3607,3573,2482,2083,4093	K00525 is present in multiple modules: M00053/M00938,K00526 is present in multiple modules: M00053/M00938,K00940 is present in multiple modules: M00049/M00050/M00053/M00052/M00938	1	1	1,1,1,3,1
M00046	KMM358	KMM358	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"(K00207,K17722+K17723) K01464 (K01431,K06016)"	0.3333333333333333	False	0.3333333333333333	False	1.0	K01464	1	K01464	1899	None	0	0	0,1,0
M00939	KMM358	KMM358	Pyrimidine degradation, uracil => 3-hydroxypropanoate	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	"K09018+K09024 K09020 K09021 K09023 (K09019,K16066)"	0.4	False	0.4	False	1.0	K09021,K16066	1,1	K09021,K16066	1072,3732	None	0	0	0,0,1,0,1
M00020	KMM358	KMM358	Serine biosynthesis, glycerate-3P => serine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"K00058 K00831 (K01079,K02203,K22305,K25528)"	1.0	True	1.0	True	1.0	K00058,K01079	1,1	K00058,K00831,K01079	2666,2367,3539	K00831 is present in multiple modules: M00020/M00124	1	1	1,1,1
M00018	KMM358	KMM358	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"(K00928,K12524,K12525,K12526) K00133 (K00003,K12524,K12525) (K00872,K02204,K02203) K01733"	1.0	True	1.0	True	1.0	K00872,K01733	1,2	K00133,K00133,K00872,K00928,K00928,K00928,K01733,K01733,K12524,K12525	1643,2166,1280,461,1279,1659,510,1281,1279,493	K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K12524 is present in multiple modules: M00018/M00017/M00016/M00526/M00527,K12525 is present in multiple modules: M00018/M00017/M00016/M00526/M00527	1	1	4,2,2,1,2
M00621	KMM358	KMM358	Glycine cleavage system	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"(K00281,K00282+K00283) K00605 K00382"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00281,K00382,K00605	1622,420,1620	K00281 is present in multiple modules: M00532/M00621,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00605 is present in multiple modules: M00532/M00621	1	1	1,1,1
M00975	KMM358	KMM358	Betaine degradation, bacteria, betaine => pyruvate	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"K00479+K21832 (((K00309,K00315) (K00301,K00302+K00303+K00304+K00305)),K21833+K21834+K25960+K25961) K00600 (K01752,K01754)"	0.5	False	0.5	False	1.0	K01752	2	K00600,K01752,K01752,K01754,K01754	3378,1874,1872,4021,3010	K00600 is present in multiple modules: M00532/M00346/M00975/M00140/M00141,K01754 is present in multiple modules: M00975/M00570	0	0	0,0,1,4
M00033	KMM358	KMM358	Ectoine biosynthesis, aspartate => ectoine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"K00928 K00133 K00836 K06718 K06720"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00133,K00133,K00928,K00928,K00928	1643,2166,461,1279,1659	K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527	0	0	3,2,0,0,0
M00021	KMM358	KMM358	Cysteine biosynthesis, serine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"(K00640,K23304) (K01738,K13034,K17069)"	1.0	True	1.0	True	1.0	K00640,K01738	1,1	K00640,K01738	4060,1204	None	1	1	1,1
M00609	KMM358	KMM358	Cysteine biosynthesis, methionine => cysteine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 K17462 K01243 K07173 K17216 K17217"	0.5	False	0.5	False	1.0	K07173	1	K00789,K01243,K07173	1065,1606,3550	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953,K01243 is present in multiple modules: M00609/M00034	0	0	1,0,1,1,0,0
M00017	KMM358	KMM358	Methionine biosynthesis, aspartate => homoserine => methionine	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"(K00928,K12524,K12525) K00133 (K00003,K12524,K12525) (K00651,K00641) K01739 (K01760,K14155) (K00548,K24042,K00549)"	1.0	True	1.0	True	1.0	K00548,K00549,K00651,K01739,K14155	1,1,1,1,4	K00133,K00133,K00548,K00549,K00651,K00928,K00928,K00928,K01739,K12524,K12525,K14155,K14155,K14155,K14155	1643,2166,3817,1739,3742,461,1279,1659,494,1279,493,3822,3132,2972,3423	K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K12524 is present in multiple modules: M00018/M00017/M00016/M00526/M00527,K12525 is present in multiple modules: M00018/M00017/M00016/M00526/M00527	1	1	4,2,2,1,1,4,2
M00034	KMM358	KMM358	Methionine salvage pathway	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 K01611 K00797 ((K01243,K01244) K00899,(K00772,K05810)) K08963 (K16054,K08964 (K09880,K08965 K08966)) K08967 (K00815,K08969,K23977,K00832,K00838)"	0.375	False	0.375	False	NA	No enzymes unique to module	NA	K00789,K00832,K01243,K05810	1065,538,1606,3952	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953,K00832 is present in multiple modules: M00034/M00024/M00025/M00040/M00044,K01243 is present in multiple modules: M00609/M00034,K05810 is present in multiple modules: M00958/M00959/M00034	0	0	1,0,0,1,0,0,0,1
M00035	KMM358	KMM358	Methionine degradation	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 (K00552,K00558,K17398,K17399) K01251 (K01697,K10150)"	0.5	False	0.5	False	1.0	K01251	1	K00789,K01251	1065,2846	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953	0	0	1,0,1,0
M00368	KMM358	KMM358	Ethylene biosynthesis, methionine => ethylene	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	"K00789 (K01762,K20772) K05933"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00789	1065	K00789 is present in multiple modules: M00609/M00034/M00035/M00368/M00953	0	0	1,0,0
M00019	KMM358	KMM358	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	"K01652+(K01653,K11258) K00053 K01687 K00826"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00053,K00826,K01652,K01652,K01652,K01653,K01687,K11258	4097,4023,4025,768,1079,769,4022,4024	K00053 is present in multiple modules: M00019/M00570,K00826 is present in multiple modules: M00019/M00570/M00036/M00119,K01652 is present in multiple modules: M00019/M00570,K01653 is present in multiple modules: M00019/M00570,K01687 is present in multiple modules: M00019/M00570,K11258 is present in multiple modules: M00019/M00570	1	1	2,1,1,1
M00535	KMM358	KMM358	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	"K09011 K01703+K01704 K00052"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00052,K01703,K01704	762,761,760	K00052 is present in multiple modules: M00535/M00432,K01703 is present in multiple modules: M00535/M00432,K01704 is present in multiple modules: M00535/M00432	0	0	0,1,1
M00570	KMM358	KMM358	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	"(K17989,K01754) K01652+(K01653,K11258) K00053 K01687 K00826"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00053,K00826,K01652,K01652,K01652,K01653,K01687,K01754,K01754,K11258	4097,4023,4025,768,1079,769,4022,4021,3010,4024	K00053 is present in multiple modules: M00019/M00570,K00826 is present in multiple modules: M00019/M00570/M00036/M00119,K01652 is present in multiple modules: M00019/M00570,K01653 is present in multiple modules: M00019/M00570,K01687 is present in multiple modules: M00019/M00570,K01754 is present in multiple modules: M00975/M00570,K11258 is present in multiple modules: M00019/M00570	1	1	2,2,1,1,1
M00432	KMM358	KMM358	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	"K01649 (K01702,K01703+K01704) K00052"	1.0	True	1.0	True	1.0	K01649	1	K00052,K01649,K01703,K01704	762,763,761,760	K00052 is present in multiple modules: M00535/M00432,K01703 is present in multiple modules: M00535/M00432,K01704 is present in multiple modules: M00535/M00432	1	1	1,1,1
M00036	KMM358	KMM358	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	"K00826 ((K00166+K00167,K11381)+K09699+K00382) (K00253,K00249) (K01968+K01969) (K05607,K13766) K01640"	0.6666666666666666	False	0.875	True	1.0	K00166,K00253,K01969,K09699,K13766	1,1,1,1,1	K00166,K00249,K00249,K00253,K00382,K00826,K01640,K01969,K09699,K13766	1447,2240,2241,2241,420,4023,2245,2242,1449,2243	K00249 is present in multiple modules: M00087/M00036,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00826 is present in multiple modules: M00019/M00570/M00036/M00119,K01640 is present in multiple modules: M00088/M00036	0	0	1,0,2,0,1,1
M00016	KMM358	KMM358	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K00674 (K00821,K14267) K01439 K01778 (K01586,K12526)"	1.0	True	1.0	True	1.0	K00674,K01439	1,2	K00133,K00133,K00215,K00674,K00821,K00928,K00928,K00928,K01439,K01439,K01586,K01714,K01714,K01778,K12524,K12525	1643,2166,2660,1030,3171,461,1279,1659,1365,1898,293,489,792,294,1279,493	K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00215 is present in multiple modules: M00016/M00525/M00526/M00527,K00821 is present in multiple modules: M00016/M00028/M00845,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K01586 is present in multiple modules: M00016/M00525/M00526/M00527,K01714 is present in multiple modules: M00016/M00525/M00526/M00527,K01778 is present in multiple modules: M00016/M00525/M00527,K12524 is present in multiple modules: M00018/M00017/M00016/M00526/M00527,K12525 is present in multiple modules: M00018/M00017/M00016/M00526/M00527	1	1	4,2,2,1,1,1,2,1,1
M00525	KMM358	KMM358	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	"K00928 K00133 K01714 K00215 K05822 K00841 K05823 K01778 K01586"	0.6666666666666666	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00133,K00133,K00215,K00928,K00928,K00928,K01586,K01714,K01714,K01778	1643,2166,2660,461,1279,1659,293,489,792,294	K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00215 is present in multiple modules: M00016/M00525/M00526/M00527,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K01586 is present in multiple modules: M00016/M00525/M00526/M00527,K01714 is present in multiple modules: M00016/M00525/M00526/M00527,K01778 is present in multiple modules: M00016/M00525/M00527	0	0	3,2,2,1,0,0,0,1,1
M00526	KMM358	KMM358	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K03340 (K01586,K12526)"	0.8333333333333334	True	0.8333333333333334	True	NA	No enzymes unique to module	NA	K00133,K00133,K00215,K00928,K00928,K00928,K01586,K01714,K01714,K12524,K12525	1643,2166,2660,461,1279,1659,293,489,792,1279,493	K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00215 is present in multiple modules: M00016/M00525/M00526/M00527,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K01586 is present in multiple modules: M00016/M00525/M00526/M00527,K01714 is present in multiple modules: M00016/M00525/M00526/M00527,K12524 is present in multiple modules: M00018/M00017/M00016/M00526/M00527,K12525 is present in multiple modules: M00018/M00017/M00016/M00526/M00527	1	0	4,2,2,1,0,1
M00527	KMM358	KMM358	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules	Amino acid metabolism	Lysine metabolism	"(K00928,K12524,K12525,K12526) K00133 K01714 K00215 K10206 K01778 (K01586,K12526)"	0.8571428571428571	True	0.8571428571428571	True	NA	No enzymes unique to module	NA	K00133,K00133,K00215,K00928,K00928,K00928,K01586,K01714,K01714,K01778,K12524,K12525	1643,2166,2660,461,1279,1659,293,489,792,294,1279,493	K00133 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K00215 is present in multiple modules: M00016/M00525/M00526/M00527,K00928 is present in multiple modules: M00018/M00033/M00017/M00016/M00525/M00526/M00527,K01586 is present in multiple modules: M00016/M00525/M00526/M00527,K01714 is present in multiple modules: M00016/M00525/M00526/M00527,K01778 is present in multiple modules: M00016/M00525/M00527,K12524 is present in multiple modules: M00018/M00017/M00016/M00526/M00527,K12525 is present in multiple modules: M00018/M00017/M00016/M00526/M00527	1	0	4,2,2,1,0,1,1
M00032	KMM358	KMM358	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	Pathway modules	Amino acid metabolism	Lysine metabolism	"K14157 K14085 K00825 (K15791+K00658+K00382) K00252 (K07514,(K07515,K07511) K00022)"	0.0	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K00382,K00658	420,1772	K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00658 is present in multiple modules: M00009/M00011/M00032	0	0	0,0,0,0,0,0
M00956	KMM358	KMM358	Lysine degradation, bacteria, L-lysine => succinate	Pathway modules	Amino acid metabolism	Lysine metabolism	"K01582 K09251 K00137 K07250 K00135 K15737 K15736"	0.42857142857142855	False	0.42857142857142855	False	1.0	K01582	1	K00135,K01582,K07250	1228,1089,1227	K00135 is present in multiple modules: M00956/M00957/M00027,K07250 is present in multiple modules: M00956/M00957/M00027	0	0	1,0,0,1,1,0,0
M00957	KMM358	KMM358	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	Pathway modules	Amino acid metabolism	Lysine metabolism	"K00468 K01506 (K14268,K07250) K00135 ((K15737 K15736),(K01041 K00252 (K01692,K01825,K01782) (K01825,K01782) K00626))"	0.4	False	0.5555555555555556	False	NA	No enzymes unique to module	NA	K00135,K00626,K01782,K01825,K07250	1228,2139,2126,4108,1227	K00135 is present in multiple modules: M00956/M00957/M00027,K00626 is present in multiple modules: M00373/M00375/M00374/M00088/M00957/M00095/M00849,K01782 is present in multiple modules: M00087/M00957,K01825 is present in multiple modules: M00087/M00957,K07250 is present in multiple modules: M00956/M00957/M00027	0	0	0,0,1,1,0
M00960	KMM358	KMM358	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	Pathway modules	Amino acid metabolism	Lysine metabolism	"(K25316,K25317) K26064 K13609 K26065 K26061 K26062 K25986 K26063 K15737"	0.2222222222222222	False	0.2222222222222222	False	1.0	K25316,K25317,K26063	1,1,1	K25316,K25317,K26063	717,2676,1635	None	0	0	2,0,0,0,0,0,0,1,0
M00028	KMM358	KMM358	Ornithine biosynthesis, glutamate => ornithine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"(K00618,K00619,K14681,K14682,K00620,K22477,K22478) ((K00930,K22478) K00145,K12659) (K00818,K00821) (K01438,K14677,K00620)"	1.0	True	1.0	True	1.0	K00930,K14682	1,1	K00145,K00821,K00930,K01438,K14682	445,3171,444,446,1660	K00145 is present in multiple modules: M00028/M00845,K00821 is present in multiple modules: M00016/M00028/M00845,K01438 is present in multiple modules: M00028/M00845	1	1	1,1,1,1
M00844	KMM358	KMM358	Arginine biosynthesis, ornithine => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00611 K01940 (K01755,K14681)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00611,K00611,K01755,K01940	3974,443,441,442	K00611 is present in multiple modules: M00844/M00029/M00978,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978	1	1	2,1,1
M00845	KMM358	KMM358	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K22478 K00145 K00821 K09065 K01438 K01940 K01755"	0.7142857142857143	False	0.7142857142857143	False	NA	No enzymes unique to module	NA	K00145,K00821,K01438,K01755,K01940	445,3171,446,441,442	K00145 is present in multiple modules: M00028/M00845,K00821 is present in multiple modules: M00016/M00028/M00845,K01438 is present in multiple modules: M00028/M00845,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978	0	0	0,1,1,0,1,1,1
M00029	KMM358	KMM358	Urea cycle	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K01948 K00611 K01940 (K01755,K14681) K01476"	0.6	False	0.6	False	NA	No enzymes unique to module	NA	K00611,K00611,K01755,K01940	3974,443,441,442	K00611 is present in multiple modules: M00844/M00029/M00978,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978	0	0	0,2,1,1,0
M00978	KMM358	KMM358	Ornithine-ammonia cycle	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K01915 K01955+K01956 K00611 K01940 K01755 (K27542,K27545)"	0.8333333333333334	True	0.8333333333333334	True	1.0	K01915	2	K00611,K00611,K01755,K01915,K01915,K01940,K01955,K01956	3974,443,441,4000,132,442,2657,2658	K00611 is present in multiple modules: M00844/M00029/M00978,K01755 is present in multiple modules: M00844/M00845/M00029/M00978,K01940 is present in multiple modules: M00844/M00845/M00029/M00978,K01955 is present in multiple modules: M00051/M00978,K01956 is present in multiple modules: M00051/M00978	1	0	2,1,2,1,1,0
M00015	KMM358	KMM358	Proline biosynthesis, glutamate => proline	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"((K00931 K00147),K12657) K00286"	1.0	True	1.0	True	1.0	K00147,K00931	1,1	K00147,K00286,K00931	852,3641,851	K00286 is present in multiple modules: M00015/M00972	1	1	1,1
M00970	KMM358	KMM358	Proline degradation, proline => glutamate	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"((K00318 K00294),K13821)"	1.0	True	1.0	True	1.0	K13821	1	K13821	3453	None	1	1	1
M00972	KMM358	KMM358	Proline metabolism	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00819 K00286 K00318"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K00286	3641	K00286 is present in multiple modules: M00015/M00972	0	0	0,1,0
M00879	KMM358	KMM358	Arginine succinyltransferase pathway, arginine => glutamate	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	"K00673 K01484 K00840 K06447 K05526"	0.8	True	0.8	True	1.0	K00673,K01484,K05526,K06447	1,1,1,1	K00673,K01484,K05526,K06447	3170,3113,2761,3169	None	1	0	1,1,0,1,1
M00133	KMM358	KMM358	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"(K01584,K01585,K02626) K01480 K01611 K00797"	0.25	False	0.25	False	1.0	K01585	1	K01585	2842	None	0	0	1,0,0,0
M00134	KMM358	KMM358	Polyamine biosynthesis, arginine => ornithine => putrescine	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"K01476,K27545 K01581"	0.5	False	0.5	False	1.0	K01581	1	K01581	1148	None	0	0	0,1
M00136	KMM358	KMM358	GABA biosynthesis, prokaryotes, putrescine => GABA	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	"K09470 K09471 K09472 K09473"	0.5	False	0.5	False	1.0	K09471,K09472	4,1	K09471,K09471,K09471,K09471,K09472	3446,1230,1776,3208,4015	None	0	0	0,4,1,0
M00026	KMM358	KMM358	Histidine biosynthesis, PRPP => histidine	Pathway modules	Amino acid metabolism	Histidine metabolism	"(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)"	1.0	True	1.0	True	1.0	K00013,K00765,K00817,K01089,K01814,K02500,K02501,K11755	1,1,1,1,1,1,1,1	K00013,K00765,K00817,K01089,K01814,K02500,K02501,K11755	1926,1927,1925,1924,1922,1921,1923,1920	None	1	1	1,1,1,1,1,1
M00045	KMM358	KMM358	Histidine degradation, histidine => N-formiminoglutamate => glutamate	Pathway modules	Amino acid metabolism	Histidine metabolism	"K01745 K01712 K01468 (K01479,K00603,K13990,(K05603 K01458))"	1.0	True	1.0	True	1.0	K01468,K01479,K01712,K01745	1,1,1,2	K01468,K01479,K01712,K01745,K01745	3863,3862,3861,3860,900	None	1	1	2,1,1,1
M00022	KMM358	KMM358	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	"(K01626,K03856,K13853) (((K01735,K13829) ((K03785,K03786) K00014,K13832)),K13830) ((K00891,K13829) (K00800,K24018),K13830) K01736"	1.0	True	1.0	True	1.0	K00014,K00800,K00891,K01626,K01735,K01736,K03786	1,1,1,4,1,1,1	K00014,K00800,K00891,K01626,K01626,K01626,K01626,K01735,K01736,K03786	3986,2366,3180,2365,2668,1529,1439,3179,2108,3391	None	1	1	4,1,1,1
