module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00550	KMM289	KMM289	Ascorbate degradation, ascorbate => D-xylulose-5P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K02821+K02822+K03475 K03476 K03078 K03079 K03077"	1.0	True	1.0	True	1.0	K02821,K02822,K03077,K03078,K03079,K03475,K03476	2,2,1,1,1,2,1	K02821,K02821,K02822,K02822,K03077,K03078,K03079,K03475,K03475,K03476	2665,1345,2664,1346,1344,1343,1349,2663,1346,1347	None	1	1	1,1,1,1,1
M00854	KMM289	KMM289	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00700,K00703,K00963,K00975,K00975,K00975	1925,2056,3312,134,1002,2055	K00700 is present in multiple modules: M00854/M00565,K00703 is present in multiple modules: M00854/M00565,K00963 is present in multiple modules: M00129/M00854/M00549,K00975 is present in multiple modules: M00854/M00565	1	1	1,1
M00855	KMM289	KMM289	Glycogen degradation, glycogen => glucose-6P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)"	1.0	True	1.0	True	1.0	K00688,K00705,K01200	1,1,1	K00688,K00705,K01200,K01835	747,1924,2017,1111	K01835 is present in multiple modules: M00855/M00549	1	1	1,1,1
M00565	KMM289	KMM289	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00975 K00703 (K00700,K16149) K01214 K06044 K01236"	0.6666666666666666	False	0.6666666666666666	False	1.0	K01214	1	K00700,K00703,K00975,K00975,K00975,K01214	1925,2056,134,1002,2055,1926	K00700 is present in multiple modules: M00854/M00565,K00703 is present in multiple modules: M00854/M00565,K00975 is present in multiple modules: M00854/M00565	0	0	3,1,1,1,0,0
M00012	KMM289	KMM289	Glyoxylate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01647,K01659) (K01681,K27802,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)"	0.8	True	0.8	True	1.0	K01638	1	K01637,K01638,K01647,K01659,K01682	1036,1035,729,440,2118	K01637 is present in multiple modules: M00012/M00982,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K01682 is present in multiple modules: M00009/M00010/M00012/M00982/M00173/M00614	1	0	2,1,1,1,0
M00373	KMM289	KMM289	Ethylmalonyl pathway	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00626 K00023 K17865 K14446 K14447 K14448 K14449 K08691 K14451 K01965+K01966 K05606 K01847"	0.08333333333333333	False	0.08333333333333333	False	NA	No enzymes unique to module	NA	K00626	374	K00626 is present in multiple modules: M00373/M00375/M00374/M00088/M00957/M00095/M00849	0	0	1,0,0,0,0,0,0,0,0,0,0,0
M00740	KMM289	KMM289	Methylaspartate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01647,K01659) K27802 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024"	0.18181818181818182	False	0.18181818181818182	False	NA	No enzymes unique to module	NA	K00031,K01647,K01659	4043,729,440	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982	0	0	2,0,1,0,0,0,0,0,0,0,0
M00532	KMM289	KMM289	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437"	0.3	False	0.3	False	1.0	K02437,K03781	1,1	K00281,K00382,K00600,K00605,K02437,K03781	4184,2122,1724,4182,4183,2275	K00281 is present in multiple modules: M00532/M00621,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00600 is present in multiple modules: M00532/M00346/M00975/M00140/M00141,K00605 is present in multiple modules: M00532/M00621	0	0	0,0,0,1,0,1,0,0,0,1
M00013	KMM289	KMM289	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00248,K00232) (K07511,K14729) K05605 K23146 K00140"	0.4	False	0.4	False	1.0	K05605	1	K00140,K05605	2732,279	K00140 is present in multiple modules: M00013/M00991/M00992	0	0	0,0,1,0,1
M00982	KMM289	KMM289	Methylcitrate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01659 (K01720,(K20455 K09788)) (K01682,K27802) (K03417,K01637) (K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00024,K00116)"	0.8571428571428571	True	0.8571428571428571	True	1.0	K01720,K03417	1,1	K00239,K00239,K00240,K00240,K00241,K00242,K00244,K00245,K00246,K00247,K01637,K01659,K01676,K01682,K01720,K03417	3601,725,3600,724,727,726,3601,3600,3599,3598,1036,440,396,2118,441,439	K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00242 is present in multiple modules: M00009/M00011/M00982/M00173/M00149/M00613/M00614,K00244 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00245 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00246 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K00247 is present in multiple modules: M00009/M00011/M00982/M00150/M00613/M00614,K01637 is present in multiple modules: M00012/M00982,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K01676 is present in multiple modules: M00009/M00011/M00982/M00173/M00613/M00614,K01682 is present in multiple modules: M00009/M00010/M00012/M00982/M00173/M00614	1	0	1,1,1,2,1,1,0
