module	db_name	module_name	module_substrates	module_intermediates	module_products	pathwise_module_completeness	stepwise_module_completeness
M00165	KMM289	Reductive pentose phosphate cycle (Calvin cycle)	CO2	Glycerone phosphate,3-Phospho-D-glyceroyl phosphate,D-Ribose 5-phosphate,D-Fructose 1,6-bisphosphate,D-Fructose 6-phosphate,Sedoheptulose 7-phosphate,D-Ribulose 1,5-bisphosphate,D-Glyceraldehyde 3-phosphate,D-Xylulose 5-phosphate,D-Ribulose 5-phosphate,D-Erythrose 4-phosphate,Sedoheptulose 1,7-bisphosphate,3-Phospho-D-glycerate	None	0.8181818181818182	0.8181818181818182
M00168	KMM289	CAM (Crassulacean acid metabolism), dark	CO2,Phosphoenolpyruvate	Oxaloacetate	(S)-Malate	0.5	0.5
M00169	KMM289	CAM (Crassulacean acid metabolism), light	(S)-Malate	Pyruvate	CO2,Phosphoenolpyruvate	0.5	0.5
M00172	KMM289	C4-dicarboxylic acid cycle, NADP - malic enzyme type	None	Phosphoenolpyruvate,Oxaloacetate,Pyruvate,(S)-Malate	CO2	0.5	0.5
M00171	KMM289	C4-dicarboxylic acid cycle, NAD - malic enzyme type	None	(S)-Malate,L-Aspartate,L-Alanine,Phosphoenolpyruvate,Oxaloacetate,Pyruvate	CO2	0.14285714285714285	0.14285714285714285
M00170	KMM289	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	None	Phosphoenolpyruvate,L-Aspartate,Oxaloacetate	CO2	0.5	0.5
M00173	KMM289	Reductive citrate cycle (Arnon-Buchanan cycle)	None	Isocitrate,Succinate,(S)-Malate,Acetyl-CoA,cis-Aconitate,Phosphoenolpyruvate,Pyruvate,Oxaloacetate,Fumarate,Succinyl-CoA,2-Oxoglutarate,Citrate	None	0.7272727272727273	0.7
M00376	KMM289	3-Hydroxypropionate bi-cycle	None	Propanoyl-CoA,Succinate,L-erythro-3-Methylmalyl-CoA,(S)-Malate,(3S)-3-Carboxy-3-hydroxypropanoyl-CoA,3-Hydroxypropionyl-CoA,Mesaconyl-CoA,(R)-Methylmalonyl-CoA,Acetyl-CoA,Fumarate,Propenoyl-CoA,Succinyl-CoA,3-Hydroxypropanoate,Mesaconyl-C4-CoA,Malonyl-CoA,(S)-Methylmalonyl-CoA,(3S)-Citramalyl-CoA,3-Oxopropanoate	Pyruvate,Glyoxylate	0.15384615384615385	0.15384615384615385
M00375	KMM289	Hydroxypropionate-hydroxybutylate cycle	None	3-Hydroxypropanoate,Propanoyl-CoA,(R)-Methylmalonyl-CoA,3-Hydroxypropionyl-CoA,Acetyl-CoA,(S)-3-Hydroxybutanoyl-CoA,4-Hydroxybutanoic acid,Propenoyl-CoA,4-Hydroxybutyryl-CoA,Crotonoyl-CoA,Succinyl-CoA,Succinate semialdehyde,Malonyl-CoA,(S)-Methylmalonyl-CoA,Acetoacetyl-CoA,3-Oxopropanoate	None	0.07142857142857142	0.07142857142857142
M00374	KMM289	Dicarboxylate-hydroxybutyrate cycle	None	Succinate,(S)-Malate,Acetyl-CoA,(S)-3-Hydroxybutanoyl-CoA,Phosphoenolpyruvate,Pyruvate,Oxaloacetate,Fumarate,Succinyl-CoA,Succinate semialdehyde,4-Hydroxybutanoic acid,4-Hydroxybutyryl-CoA,Crotonoyl-CoA,Acetoacetyl-CoA	None	0.38461538461538464	0.38461538461538464
M00377	KMM289	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	CO2	Tetrahydrofolate,Formate,5-Methyltetrahydrofolate,CO,5,10-Methenyltetrahydrofolate,5,10-Methylenetetrahydrofolate,10-Formyltetrahydrofolate	Acetyl-CoA	0.47619047619047616	0.42857142857142855
M00579	KMM289	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Acetyl-CoA	Acetyl phosphate	Acetate	1.0	1.0
M00620	KMM289	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Acetyl-CoA	Succinate,(S)-Malate,Fumarate,Pyruvate,Oxaloacetate,Succinyl-CoA	2-Oxoglutarate	0.14285714285714285	0.14285714285714285
M00357	KMM289	Methanogenesis, acetate => methane	Acetate	5-Methyl-5,6,7,8-tetrahydromethanopterin,Coenzyme M,Acetyl-CoA,Coenzyme B,2-(Methylthio)ethanesulfonate,Acetyl phosphate,Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide	Methane	0.2	0.2
M00346	KMM289	Formaldehyde assimilation, serine pathway	None	(S)-Malate,(3S)-3-Carboxy-3-hydroxypropanoyl-CoA,L-Serine,Glycine,Glyoxylate,Hydroxypyruvate,Phosphoenolpyruvate,Oxaloacetate,2-Phospho-D-glycerate,D-Glycerate	None	0.4444444444444444	0.4444444444444444
M00345	KMM289	Formaldehyde assimilation, ribulose monophosphate pathway	Formaldehyde,D-Ribulose 5-phosphate	D-Fructose 1,6-bisphosphate,D-Fructose 6-phosphate,D-arabino-Hex-3-ulose 6-phosphate	D-Glyceraldehyde 3-phosphate	0.6666666666666666	0.6666666666666666
M00344	KMM289	Formaldehyde assimilation, xylulose monophosphate pathway	Formaldehyde	Glycerone phosphate,D-Fructose 1,6-bisphosphate,Glycerone	D-Fructose 6-phosphate	0.5	0.5
M00530	KMM289	Dissimilatory nitrate reduction, nitrate => ammonia	Nitrate	Nitrite	NH3	1.0	1.0
M00529	KMM289	Denitrification, nitrate => nitrogen	Nitrate	Nitric oxide,Nitrous oxide,Nitrite	Nitrogen	0.25	0.25
M00176	KMM289	Assimilatory sulfate reduction, sulfate => H2S	Sulfate	3'-Phosphoadenylyl sulfate,Sulfite,Adenylyl sulfate	Hydrogen sulfide	1.0	1.0
M00986	KMM289	Sulfur reduction, sulfur => sulfide	Sulfur	None	Hydrogen sulfide	1.0	1.0
M00985	KMM289	Sulfide oxidation, sulfide => sulfur	Hydrogen sulfide	None	Sulfur	0.5	0.0
M00990	KMM289	Dimethylsulfoniopropionate (DMSP) degradation, demethylation pathway, DMSP => methanethiol	S,S-Dimethyl-beta-propiothetin	3-(Methylthio)propanoate,3-(Methylthio)propanoyl-CoA,3-(Methylthio)acryloyl-CoA	Methanethiol,Acetaldehyde	0.25	0.25
M00991	KMM289	Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acetyl-CoA	S,S-Dimethyl-beta-propiothetin	3-Hydroxypropanoate,3-Oxopropanoate	Dimethyl sulfide,Acetyl-CoA	0.3333333333333333	0.3333333333333333
M00992	KMM289	Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA	S,S-Dimethyl-beta-propiothetin	Acrylic acid,Propenoyl-CoA,3-Oxopropanoate,3-Hydroxypropanoate	Dimethyl sulfide,Acetyl-CoA	0.2	0.2
M00993	KMM289	Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => propionyl-CoA	S,S-Dimethyl-beta-propiothetin	Propenoyl-CoA	Dimethyl sulfide,Propanoyl-CoA	0.5	0.5
M00144	KMM289	NADH:quinone oxidoreductase, prokaryotes	H+,Ubiquinone,NADH	None	Ubiquinol,NAD+	1.0	1.0
M00149	KMM289	Succinate dehydrogenase, prokaryotes	Quinone,Succinate	None	Fumarate,Hydroquinone	1.0	1.0
M00150	KMM289	Fumarate reductase, prokaryotes	Quinone,Succinate	None	Fumarate,Hydroquinone	1.0	1.0
M00151	KMM289	Cytochrome bc1 complex respiratory unit	Hydroquinone,Ferricytochrome c	None	Quinone,H+,Ferrocytochrome c	1.0	1.0
M00152	KMM289	Cytochrome bc1 complex	Ubiquinol,Ferricytochrome c	None	H+,Ubiquinone,Ferrocytochrome c	0.3	0.0
M00153	KMM289	Cytochrome bd ubiquinol oxidase	Ubiquinol,Oxygen	None	Ubiquinone,H2O	1.0	1.0
M00156	KMM289	Cytochrome c oxidase, cbb3-type	H+,Ferrocytochrome c,Oxygen	None	H2O,Ferricytochrome c	1.0	1.0
M00157	KMM289	F-type ATPase, prokaryotes and chloroplasts	ADP,Orthophosphate	None	H2O,ATP	1.0	1.0
M00082	KMM289	Fatty acid biosynthesis, initiation	Acetyl-CoA	Malonyl-CoA,Malonyl-[acyl-carrier protein],Acetyl-[acyl-carrier protein]	Acetoacetyl-[acp]	1.0	1.0
M00083	KMM289	Fatty acid biosynthesis, elongation	Malonyl-[acyl-carrier protein],Acetyl-[acyl-carrier protein]	But-2-enoyl-[acyl-carrier protein],3-Oxodecanoyl-[acp],3-Oxohexanoyl-[acp],(3R)-3-Hydroxydecanoyl-[acyl-carrier protein],trans-Dec-2-enoyl-[acp],trans-Dodec-2-enoyl-[acp],trans-Hex-2-enoyl-[acp],Hexanoyl-[acp],(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein],Dodecanoyl-[acyl-carrier protein],Octanoyl-[acp],3-Oxododecanoyl-[acp],trans-Oct-2-enoyl-[acp],trans-Tetradec-2-enoyl-[acp],(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein],3-Oxohexadecanoyl-[acp],Acetoacetyl-[acp],Decanoyl-[acp],(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],Butyryl-[acp],(R)-3-Hydroxyhexanoyl-[acp],3-Oxotetradecanoyl-[acp],(3R)-3-Hydroxybutanoyl-[acyl-carrier protein],trans-Hexadec-2-enoyl-[acp],Tetradecanoyl-[acp],(R)-3-Hydroxydodecanoyl-[acp],3-Oxooctanoyl-[acp]	Hexadecanoyl-[acp]	1.0	1.0
M00873	KMM289	Fatty acid biosynthesis in mitochondria, animals	None	None	None	0.25	0.16666666666666666
M00874	KMM289	Fatty acid biosynthesis in mitochondria, fungi	None	None	None	0.4166666666666667	0.3333333333333333
M00086	KMM289	beta-Oxidation, acyl-CoA synthesis	Hexadecanoic acid	None	Palmitoyl-CoA	1.0	1.0
M00087	KMM289	beta-Oxidation	Palmitoyl-CoA	Octanoyl-CoA,3-Oxododecanoyl-CoA,3-Oxooctanoyl-CoA,trans-Dec-2-enoyl-CoA,trans-Hex-2-enoyl-CoA,(S)-Hydroxydecanoyl-CoA,3-Oxotetradecanoyl-CoA,(S)-3-Hydroxytetradecanoyl-CoA,Hexanoyl-CoA,Tetradecanoyl-CoA,Acetoacetyl-CoA,trans-Hexadec-2-enoyl-CoA,2-trans-Dodecenoyl-CoA,3-Oxopalmitoyl-CoA,(S)-Hydroxyhexanoyl-CoA,trans-Oct-2-enoyl-CoA,Crotonoyl-CoA,3-Oxodecanoyl-CoA,Lauroyl-CoA,Decanoyl-CoA,trans-Tetradec-2-enoyl-CoA,(S)-3-Hydroxybutanoyl-CoA,3-Oxohexanoyl-CoA,Butanoyl-CoA,(S)-3-Hydroxyhexadecanoyl-CoA,(S)-3-Hydroxyoctanoyl-CoA,(S)-3-Hydroxydodecanoyl-CoA	Acetyl-CoA	1.0	1.0
