module	db_name	module_name	module_substrates	module_intermediates	module_products	pathwise_module_completeness	stepwise_module_completeness
M00044	KMM358	Tyrosine degradation, tyrosine => homogentisate	L-Tyrosine	3-(4-Hydroxyphenyl)pyruvate,4-Maleylacetoacetate,Homogentisate,4-Fumarylacetoacetate	Fumarate,Acetoacetate	1.0	1.0
M00936	KMM358	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	L-Tryptophan	Tryptamine,N-Acetylserotonin,Serotonin	Melatonin	0.25	0.25
M00027	KMM358	GABA (gamma-Aminobutyrate) shunt	L-Glutamate	4-Aminobutanoate,Succinate semialdehyde	Succinate	0.6666666666666666	0.6666666666666666
M00118	KMM358	Glutathione biosynthesis, glutamate => glutathione	L-Glutamate	gamma-L-Glutamyl-L-cysteine	Glutathione	1.0	1.0
M00892	KMM358	UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc	D-Fructose 6-phosphate	N-Acetyl-alpha-D-glucosamine 1-phosphate,D-Glucosamine 6-phosphate,N-Acetyl-D-glucosamine 6-phosphate	UDP-N-acetyl-alpha-D-glucosamine	0.25	0.25
M00909	KMM358	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	D-Fructose 6-phosphate	N-Acetyl-alpha-D-glucosamine 1-phosphate,D-Glucosamine 6-phosphate,alpha-D-Glucosamine 1-phosphate	UDP-N-acetyl-alpha-D-glucosamine	1.0	1.0
M01002	KMM358	UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc	D-Fructose 6-phosphate	D-Glucosamine 6-phosphate,N-Acetyl-alpha-D-galactosamine 1-phosphate,D-Galactosamine 6-phosphate,alpha-D-Galactosamine 1-phosphate	UDP-N-acetyl-D-galactosamine	0.25	0.25
M00996	KMM358	UDP-MurNAc biosynthesis, anhMurNAc => UDP-MurNAc	1,6-Anhydro-N-acetyl-beta-muramate	N-Acetylmuramic acid 6-phosphate,N-Acetylmuramic acid alpha-1-phosphate,N-Acetylmuramate	UDP-N-acetylmuramate	1.0	1.0
M00995	KMM358	UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc	D-Fructose 6-phosphate	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine,UDP-N-acetyl-alpha-D-glucosamine,alpha-D-Glucosamine 1-phosphate,N-Acetyl-alpha-D-glucosamine 1-phosphate,D-Glucosamine 6-phosphate	UDP-N-acetylmuramate	1.0	1.0
M00549	KMM358	UDP-Glc biosynthesis, Glc => UDP-Glc	alpha-D-Glucose	alpha-D-Glucose 6-phosphate,D-Glucose 1-phosphate	UDP-glucose	1.0	1.0
M01004	KMM358	UDP-Galf biosynthesis, UDP-Glc => UDP-Galf	UDP-glucose	UDP-alpha-D-galactose	UDP-alpha-D-galactofuranose	1.0	1.0
M00997	KMM358	UDP-Xyl/L-Ara biosynthesis, UDP-Glc => UDP-Xyl => UDP-L-Ala	UDP-glucose	UDP-glucuronate,UDP-D-xylose	UDP-L-arabinose	0.3333333333333333	0.3333333333333333
M00999	KMM358	UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA	UDP-glucose	UDP-glucuronate	UDP-D-galacturonate	1.0	1.0
M00554	KMM358	UDP-Gal biosynthesis, Gal => UDP-Gal	alpha-D-Galactose	alpha-D-Galactose 1-phosphate	UDP-alpha-D-galactose	1.0	1.0
M01000	KMM358	GDP-Man biosynthesis, Fru-6P => GDP-Man	D-Fructose 6-phosphate	D-Mannose 6-phosphate,D-Mannose 1-phosphate	GDP-mannose	0.6666666666666666	0.6666666666666666
M01015	KMM358	GDP-Man biosynthesis, Man => GDP-Man	D-Mannose	D-Mannose 6-phosphate,D-Mannose 1-phosphate	GDP-mannose	0.3333333333333333	0.0
M00923	KMM358	UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-2,6-dideoxy-beta-L-lyxo-4-hexulose,UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose,UDP-2-acetamido-2,6-dideoxy-beta-L-talose	UDP-N-acetyl-beta-L-fucosamine	0.3333333333333333	0.3333333333333333
M01007	KMM358	CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose,UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose,UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine,Pseudaminic acid,2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	CMP-pseudaminic acid	0.5	0.5
M01009	KMM358	UDP-QuiNAc biosynthesis, UDP-GlcNAc => UDP-QuiNAc	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose	UDP-2-acetamido-2,6-dideoxy-alpha-D-glucose	1.0	1.0
M01032	KMM358	UDP-D-FucNAc biosynthesis, UDP-GlcNAc => UDP-D-FucNAc	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose	UDP-2-acetamido-2,6-dideoxy-alpha-D-galactose	0.5	0.5
M01033	KMM358	UDP-yelosamine biosynthesis, UDP-GlcNAc => UDP-yelosamine	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose,UDP-2-acetamido-4-amino-2,4,6-trideoxy-D-galactose	UDP-yelosamine	0.3333333333333333	0.3333333333333333
M01037	KMM358	UDP-D-FucNAc4N biosynthesis, UDP-GlcNAc => UDP-D-FucNAc4N	UDP-N-acetyl-alpha-D-glucosamine	UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose	UDP-2-acetamido-4-amino-2,4,6-trideoxy-D-galactose	0.5	0.5
M00063	KMM358	CMP-KDO biosynthesis, ribulose-5P => CMP-KDO	D-Ribulose 5-phosphate	D-Arabinose 5-phosphate,3-Deoxy-D-manno-octulosonate,3-Deoxy-D-manno-octulosonate 8-phosphate	CMP-3-deoxy-D-manno-octulosonate	1.0	1.0
M01014	KMM358	UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA	UDP-N-acetyl-alpha-D-glucosamine	UDP-N-acetyl-D-mannosamine	UDP-N-acetyl-D-mannosaminouronate	0.5	0.5
M01028	KMM358	GDP-DDmanHep biosynthesis, sedoheptulose-7P => GDP-DDmanHep	Sedoheptulose 7-phosphate	D-glycero-alpha-D-manno-Heptose 7-phosphate,D-glycero-alpha-D-manno-Heptose 1-phosphate,D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate	GDP-D-glycero-alpha-D-manno-heptose	0.5	0.5
M00064	KMM358	ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep	Sedoheptulose 7-phosphate	D-glycero-D-manno-Heptose 1,7-bisphosphate,D-glycero-D-manno-Heptose 1-phosphate,D-glycero-D-manno-Heptose 7-phosphate,ADP-D-glycero-D-manno-heptose	ADP-L-glycero-D-manno-heptose	1.0	1.0
M00761	KMM358	Und-P-alpha-L-Ara4N biosynthesis, UDP-Glc => UDP-L-Ara4FN => Und-P-alpha-L-Ara4N	UDP-glucose	UDP-L-Ara4FN,UDP-L-Ara4O,Undecaprenyl phosphate alpha-L-Ara4FN,UDP-glucuronate,UDP-L-Ara4N	Undecaprenyl phosphate alpha-L-Ara4N	0.2	0.2
M01029	KMM358	CDP-Tyv biosynthesis, Glc-1P => CDP-Par => CDP-Tyv	D-Glucose 1-phosphate	CDP-4-dehydro-6-deoxy-D-glucose,CDP-3,6-dideoxy-D-glucose,CDP-4-dehydro-3,6-dideoxy-D-glucose,CDP-glucose	CDP-3,6-dideoxy-D-mannose	0.4	0.4
M01030	KMM358	CDP-Abe biosynthesis, Glc-1P => CDP-Abe	D-Glucose 1-phosphate	CDP-4-dehydro-6-deoxy-D-glucose,CDP-4-dehydro-3,6-dideoxy-D-glucose,CDP-glucose	CDP-abequose	0.5	0.5
M01031	KMM358	CDP-Asc biosynthesis, Glc-1P => CDP-Asc	D-Glucose 1-phosphate	CDP-4-dehydro-6-deoxy-D-glucose,CDP-4-dehydro-3,6-dideoxy-D-glucose epimer,CDP-4-dehydro-3,6-dideoxy-D-glucose,CDP-glucose	CDP-ascarylose	0.4	0.4
M00793	KMM358	dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha	D-Glucose 1-phosphate	dTDP-glucose,dTDP-4-dehydro-beta-L-rhamnose,dTDP-4-oxo-6-deoxy-D-glucose	dTDP-L-rhamnose	1.0	1.0
M01022	KMM358	dTDP-6-deoxy-L-Tal biosynthesis, Glc-1P => dTDP-6-deoxy-L-Tal	D-Glucose 1-phosphate	dTDP-glucose,dTDP-4-dehydro-beta-L-rhamnose,dTDP-4-oxo-6-deoxy-D-glucose	dTDP-6-deoxy-beta-L-talose	0.75	0.75
M01023	KMM358	dTDP-D-Fuc3NAc biosynthesis, Glc-1P => dTDP-D-Fuc3NAc	D-Glucose 1-phosphate	dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose,dTDP-glucose,dTDP-3-dehydro-6-deoxy-alpha-D-galactopyranose,dTDP-4-oxo-6-deoxy-D-glucose	dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactopyranose	0.4	0.4
M01024	KMM358	dTDP-Qui3NAc biosynthesis, Glc-1P => dTDP-Qui3NAc	D-Glucose 1-phosphate	dTDP-3-amino-3,6-dideoxy-D-glucose,dTDP-glucose,3,6-Dideoxy-3-oxo-dTDP-D-glucose,dTDP-4-oxo-6-deoxy-D-glucose	dTDP-3-acetamido-3,6-dideoxy-alpha-D-glucose	0.4	0.4
M01025	KMM358	dTDP-D-Fuc4NAc biosynthesis, Glc-1P => dTDP-D-Fuc4NAc	D-Glucose 1-phosphate	dTDP-4-amino-4,6-dideoxy-D-galactose,dTDP-glucose,dTDP-4-oxo-6-deoxy-D-glucose	dTDP-4-acetamido-4,6-dideoxy-alpha-D-galactose	0.5	0.5
M01026	KMM358	dTDP-Qui4NAc biosynthesis, Glc-1P => dTDP-Qui4NAc	D-Glucose 1-phosphate	dTDP-glucose,dTDP-4-oxo-6-deoxy-D-glucose,dTDP-4-amino-4,6-dideoxy-D-glucose	dTDP-4-acetamido-4,6-dideoxy-D-glucose	0.5	0.5
M01027	KMM358	dTDP-D-Fucf biosynthesis, Glc-1P => dTDP-D-Fucf	D-Glucose 1-phosphate	dTDP-glucose,dTDP-4-oxo-6-deoxy-D-glucose,dTDP-D-fucose	dTDP-alpha-D-fucofuranose	0.5	0.5
M01006	KMM358	GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N	D-Fructose 6-phosphate	GDP-4-dehydro-6-deoxy-D-mannose,D-Mannose 6-phosphate,D-Mannose 1-phosphate,GDP-mannose	GDP-4-amino-4,6-dideoxy-alpha-D-mannose	0.8	0.8
M01034	KMM358	GDP-D-Rha4NFormyl biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NFormyl	GDP-mannose	GDP-4-dehydro-6-deoxy-D-mannose,GDP-4-amino-4,6-dideoxy-alpha-D-mannose	GDP-N-formyl-alpha-D-perosamine	0.6666666666666666	0.6666666666666666
M01020	KMM358	GDP-D-Rha4NAc biosynthesis, GDP-Man => GDP-D-Rha4N => GDP-D-Rha4NAc	GDP-mannose	GDP-4-dehydro-6-deoxy-D-mannose,GDP-4-amino-4,6-dideoxy-alpha-D-mannose	GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose	0.6666666666666666	0.6666666666666666
M01016	KMM358	GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc	GDP-mannose	GDP-4-dehydro-6-deoxy-D-mannose	GDP-L-fucose	1.0	1.0
M01017	KMM358	GDP-L-Col biosynthesis, GDP-Man => GDP-L-Col	GDP-mannose	GDP-4-dehydro-6-deoxy-D-mannose,GDP-4-dehydro-3,6-dideoxy-alpha-D-mannose	GDP-beta-L-colitose	0.3333333333333333	0.3333333333333333
M01018	KMM358	GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha	GDP-mannose	GDP-4-dehydro-6-deoxy-D-mannose	GDP-6-deoxy-D-mannose	0.5	0.5
M01019	KMM358	GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal	GDP-mannose	GDP-4-dehydro-6-deoxy-D-mannose	GDP-6-deoxy-D-talose	0.5	0.5
M00079	KMM358	Keratan sulfate degradation	Keratan sulfate	G13074,G01945,G01977,G13073	G01391	0.2	0.2
M00060	KMM358	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	UDP-N-acetyl-D-glucosamine	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate,2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate,UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,Lauroyl-KDO2-lipid IV(A),2,3,2',3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1-phosphate,3-Deoxy-D-manno-octulosonyl-lipid IV(A),Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)	Di[3-deoxy-D-manno-octulosonyl]-lipid A	1.0	1.0
M00866	KMM358	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	None	None	None	0.8888888888888888	0.8888888888888888
M00867	KMM358	KDO2-lipid A modification pathway	H. pylori KDO2-lipid A	4'-Dephosphorylated 1-PEtN-KDO-lipid A,1-Dephospho-KDO2-lipid A,1-PEtN-KDO-lipid A,1-PEtN-KDO2-lipid A	H. pylori KDO-lipid A	0.2	0.2
M00127	KMM358	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	1-Deoxy-D-xylulose 5-phosphate,Sulfur-carrier protein,L-Tyrosine,Aminoimidazole ribotide	Thiocarboxy-[sulfur-carrier protein],4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,Thiamin monophosphate,Adenylyl-[sulfur-carrier protein],Iminoglycine,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate	Thiamin diphosphate	1.0	1.0
M00895	KMM358	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	Glycine,1-Deoxy-D-xylulose 5-phosphate,Sulfur-carrier protein,Aminoimidazole ribotide	Thiocarboxy-[sulfur-carrier protein],4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,Thiamin monophosphate,Adenylyl-[sulfur-carrier protein],Iminoglycine,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate	Thiamin diphosphate	0.6666666666666666	0.6666666666666666
M00896	KMM358	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	NAD+,Aminoimidazole ribotide,Glycine	ADP-5-ethyl-4-methylthiazole-2-carboxylate,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,Thiamin monophosphate,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine	Thiamin diphosphate	0.6	0.5
M00897	KMM358	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	NAD+,Aminoimidazole ribotide,Glycine	ADP-5-ethyl-4-methylthiazole-2-carboxylate,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate,Thiamin monophosphate,Thiamine,2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate,4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine	Thiamin diphosphate	0.4	0.4
M00899	KMM358	Thiamine salvage pathway, HMP/HET => TMP	4-Amino-5-hydroxymethyl-2-methylpyrimidine,5-(2-Hydroxyethyl)-4-methylthiazole	4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,4-Methyl-5-(2-phosphooxyethyl)thiazole,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate	Thiamin monophosphate	0.5	0.5
M00125	KMM358	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	GTP,D-Ribulose 5-phosphate	FMN,5-Amino-6-(1-D-ribitylamino)uracil,5-Amino-6-(5'-phosphoribosylamino)uracil,2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone,3,4-Dihydroxy-2-butanone 4-phosphate,5-Amino-6-(5'-phosphoribitylamino)uracil,Riboflavin,6,7-Dimethyl-8-(1-D-ribityl)lumazine	FAD	1.0	1.0
M00911	KMM358	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	GTP,D-Ribulose 5-phosphate	FMN,5-Amino-6-(1-D-ribitylamino)uracil,2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one,2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one,L-3,4-Dihydroxybutan-2-one 4-phosphate,5-Amino-6-(5'-phospho-D-ribitylamino)uracil,Riboflavin,6,7-Dimethyl-8-(D-ribityl)lumazine	FAD	0.4444444444444444	0.4444444444444444
M00124	KMM358	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	D-Erythrose 4-phosphate	O-Phospho-4-hydroxy-L-threonine,3-Amino-2-oxopropyl phosphate,2-Oxo-3-hydroxy-4-phosphobutanoate,2-Amino-3-oxo-4-phosphonooxybutyrate,4-Phospho-D-erythronate,Pyridoxine phosphate	Pyridoxal phosphate	1.0	1.0
M00115	KMM358	NAD biosynthesis, aspartate => quinolinate => NAD	L-Aspartate	Iminoaspartate,Nicotinate D-ribonucleotide,Deamino-NAD+,Pyridine-2,3-dicarboxylate	NAD+	1.0	1.0
M00912	KMM358	NAD biosynthesis, tryptophan => quinolinate => NAD	L-Tryptophan	3-Hydroxyanthranilate,Deamino-NAD+,Quinolinate,3-Hydroxy-L-kynurenine,Nicotinate D-ribonucleotide,L-Formylkynurenine,2-Amino-3-carboxymuconate semialdehyde,L-Kynurenine	NAD+	0.375	0.375
M00119	KMM358	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	L-Valine,L-Aspartate	(R)-Pantoate,2-Dehydropantoate,3-Methyl-2-oxobutanoic acid,beta-Alanine	Pantothenate	0.8	0.8
M00913	KMM358	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Spermine,3-Methyl-2-oxobutanoic acid	(R)-Pantoate,2-Dehydropantoate,beta-Alanine,3-Aminopropanal	Pantothenate	0.6	0.6
M00120	KMM358	Coenzyme A biosynthesis, pantothenate => CoA	Pantothenate	D-4'-Phosphopantothenate,Dephospho-CoA,(R)-4'-Phosphopantothenoyl-L-cysteine,Pantetheine 4'-phosphate	CoA	1.0	1.0
M00914	KMM358	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	3-Methyl-2-oxobutanoic acid	2-Dehydropantoate,(R)-4'-Phosphopantothenoyl-L-cysteine,Pantetheine 4'-phosphate,Dephospho-CoA,(R)-4-Phosphopantoate,D-4'-Phosphopantothenate,(R)-Pantoate	CoA	0.42857142857142855	0.42857142857142855
M00572	KMM358	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Malonyl-[acp]	3-Hydroxyglutaryl-[acp] methyl ester,Enoylglutaryl-[acp] methyl ester,3-Hydroxypimeloyl-[acp] methyl ester,Pimelyl-[acp] methyl ester,Enoylpimeloyl-[acp] methyl ester,3-Ketopimeloyl-[acp] methyl ester,Malonyl-[acp] methyl ester,Glutaryl-[acp] methyl ester,3-Ketoglutaryl-[acp] methyl ester	Pimelyl-[acp]	0.8333333333333334	0.8333333333333334
M00123	KMM358	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Pimeloyl-CoA,Pimeloyl-[acyl-carrier protein]	8-Amino-7-oxononanoate,Dethiobiotin,7,8-Diaminononanoate	Biotin	1.0	1.0
M00950	KMM358	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	Pimeloyl-CoA,Pimeloyl-[acyl-carrier protein]	8-Amino-7-oxononanoate,Dethiobiotin,8-Amino-7-(carboxyamino)nonanoate	Biotin	0.75	0.75
M00573	KMM358	Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin	Long-chain acyl-[acyl-carrier protein]	8-Amino-7-oxononanoate,Dethiobiotin,Pimeloyl-[acyl-carrier protein],7,8-Diaminononanoate	Biotin	0.6	0.6
M00577	KMM358	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin	Pimelate	8-Amino-7-oxononanoate,Dethiobiotin,Pimeloyl-CoA,7,8-Diaminononanoate	Biotin	0.8	0.8
M00881	KMM358	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	Octanoyl-[acp]	[Glycine cleavage system H]-N6-octanoyl-L-lysine,[Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine	[Glycine cleavage system H]-N6-[(R)-dihydrolipoyl]-L-lysine,[Lipoyl-carrier protein E2]-N6-[(R)-dihydrolipoyl]-L-lysine	1.0	1.0
M00882	KMM358	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	Octanoyl-[acp]	[Glycine cleavage system H]-N6-octanoyl-L-lysine	[Glycine cleavage system H]-N6-[(R)-dihydrolipoyl]-L-lysine	0.5	0.5
M00883	KMM358	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	Octanoyl-[acp]	[Glycine cleavage system H]-N6-octanoyl-L-lysine,[Glycine cleavage system H]-N6-[(R)-dihydrolipoyl]-L-lysine	[Lipoyl-carrier protein E2]-N6-[(R)-dihydrolipoyl]-L-lysine	0.6666666666666666	0.6666666666666666
M00884	KMM358	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	Octanoyl-CoA	[Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine	[Lipoyl-carrier protein E2]-N6-[(R)-dihydrolipoyl]-L-lysine	0.5	0.5
M00126	KMM358	Tetrahydrofolate biosynthesis, GTP => THF	GTP	Dihydroneopterin phosphate,7,8-Dihydroneopterin 3'-triphosphate,7,8-Dihydroneopterin,2,5-Diaminopyrimidine nucleoside triphosphate,6-Hydroxymethyl-7,8-dihydropterin diphosphate,Dihydropteroate,6-(Hydroxymethyl)-7,8-dihydropterin,Formamidopyrimidine nucleoside triphosphate,Dihydrofolate,2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	Tetrahydrofolate	1.0	1.0
M00840	KMM358	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	GTP	Dihydroneopterin phosphate,7,8-Dihydroneopterin,6-Hydroxymethyl-7,8-dihydropterin diphosphate,Dihydropteroate,6-(Hydroxymethyl)-7,8-dihydropterin,2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one,Dihydrofolate	Tetrahydrofolate	0.42857142857142855	0.42857142857142855
M00841	KMM358	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	GTP	7,8-Dihydroneopterin 3'-triphosphate,6-Hydroxymethyl-7,8-dihydropterin diphosphate,2,5-Diaminopyrimidine nucleoside triphosphate,Dihydropteroate,6-(Hydroxymethyl)-7,8-dihydropterin,Formamidopyrimidine nucleoside triphosphate,Dihydrofolate,2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	Tetrahydrofolate	0.4	0.4
M00842	KMM358	Tetrahydrobiopterin biosynthesis, GTP => BH4	GTP	7,8-Dihydroneopterin 3'-triphosphate,2,5-Diaminopyrimidine nucleoside triphosphate,Formamidopyrimidine nucleoside triphosphate,6-Pyruvoyltetrahydropterin,2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	Tetrahydrobiopterin	0.6666666666666666	0.6666666666666666
M00843	KMM358	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	GTP	7,8-Dihydroneopterin 3'-triphosphate,2,5-Diaminopyrimidine nucleoside triphosphate,Formamidopyrimidine nucleoside triphosphate,6-Pyruvoyltetrahydropterin,2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	L-threo-Tetrahydrobiopterin	0.6666666666666666	0.6666666666666666
M00880	KMM358	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	GTP	(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate,Adenylated molybdopterin,Molybdopterin,Precursor Z	Molybdoenzyme molybdenum cofactor	1.0	1.0
M00988	KMM358	PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine	GTP	7,8-Dihydroneopterin 3'-triphosphate,2,5-Diaminopyrimidine nucleoside triphosphate,Formamidopyrimidine nucleoside triphosphate,7-Carboxy-7-carbaguanine,6-Carboxy-5,6,7,8-tetrahydropterin,7-Cyano-7-carbaguanine,2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	7-Aminomethyl-7-carbaguanine	1.0	1.0
M00140	KMM358	C1-unit interconversion, prokaryotes	None	Tetrahydrofolate,10-Formyltetrahydrofolate,5,10-Methenyltetrahydrofolate,5,10-Methylenetetrahydrofolate	None	1.0	1.0
M00141	KMM358	C1-unit interconversion, eukaryotes	None	Tetrahydrofolate,10-Formyltetrahydrofolate,5,10-Methenyltetrahydrofolate,5,10-Methylenetetrahydrofolate	None	0.5	0.5
M00846	KMM358	Siroheme biosynthesis, glutamyl-tRNA => siroheme	L-Glutamyl-tRNA(Glu)	Uroporphyrinogen III,Precorrin 2,Sirohydrochlorin,Porphobilinogen,(S)-4-Amino-5-oxopentanoate,Hydroxymethylbilane,5-Aminolevulinate	Siroheme	1.0	1.0
M00868	KMM358	Heme biosynthesis, animals and fungi, glycine => heme	Glycine	Coproporphyrinogen III,Uroporphyrinogen III,Protoporphyrin,Porphobilinogen,Hydroxymethylbilane,5-Aminolevulinate,Protoporphyrinogen IX	Heme	0.75	0.75
M00121	KMM358	Heme biosynthesis, plants and bacteria, glutamate => heme	L-Glutamate	Uroporphyrinogen III,Coproporphyrinogen III,Protoporphyrin,Porphobilinogen,(S)-4-Amino-5-oxopentanoate,L-Glutamyl-tRNA(Glu),Hydroxymethylbilane,5-Aminolevulinate,Protoporphyrinogen IX	Heme	1.0	1.0
M00926	KMM358	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	L-Glutamyl-tRNA(Glu)	Uroporphyrinogen III,Coproporphyrinogen III,Fe-coproporphyrin III,Porphobilinogen,(S)-4-Amino-5-oxopentanoate,Hydroxymethylbilane,5-Aminolevulinate,Coproporphyrin III	Heme	0.7777777777777778	0.7777777777777778
